theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
10,delta_pt_over_pt2_from_ratio,0.13793365042926117,0.14893732978270904,0.14332993261044874,145,-0.2768545983743421,0.2981773896635135,0.28751599401892786,0.3522395318832263,0.28751599401892786,0.0218285230627775
10,delta_pt_over_pt2_from_ratio,0.14893732978270904,0.16081882944278028,0.15476410125086698,152,-0.323188481728858,0.22070578251590045,0.2719471321223792,0.3307689305469834,0.2719471321223792,0.03371425801484844
10,delta_pt_over_pt2_from_ratio,0.16081882944278028,0.17364817766693033,0.167110432550657,145,-0.22504672687619,0.20745363587921273,0.21625018137770138,0.22640710484914167,0.21625018137770138,0.015657799154036152
10,delta_pt_over_pt2_from_ratio,0.17364817766693033,0.18750098922822062,0.1804416944340394,163,-0.2019710605261254,0.20771634355762622,0.20484370204187582,0.2506769188795891,0.20484370204187582,0.010716312143044275
10,delta_pt_over_pt2_from_ratio,0.18750098922822062,0.2024589110805081,0.19483645989820186,168,-0.1989622651073799,0.16713144003841757,0.18304685257289874,0.23958676286472497,0.18304685257289874,0.016967645101956697
10,delta_pt_over_pt2_from_ratio,0.2024589110805081,0.21861010357664704,0.21037957011393726,154,-0.21469656982211763,0.18710192028778586,0.20089924505495174,0.25398078718622646,0.20089924505495174,0.016506345824009935
10,delta_pt_over_pt2_from_ratio,0.21861010357664704,0.2360497600759514,0.2271626344702104,166,-0.17607121485879587,0.13396057219298907,0.15501589352589246,1.794388215820173,0.15501589352589246,0.020685687049508943
10,delta_pt_over_pt2_from_ratio,0.2360497600759514,0.2548806680034274,0.2452845705098616,151,-0.12409235654242229,0.14855375203567633,0.1363230542890493,0.14586014988035192,0.1363230542890493,0.009865947764020421
10,delta_pt_over_pt2_from_ratio,0.2548806680034274,0.2752138146675958,0.26485218693876833,171,-0.15395536953403124,0.0953483391633272,0.12465185434867922,0.15375517998439814,0.12465185434867922,0.009385745796571726
10,delta_pt_over_pt2_from_ratio,0.2752138146675958,0.29716904140753153,0.28598081314465745,173,-0.09938344820296217,0.10962458524360853,0.10450401672328535,0.13023843129707346,0.10450401672328535,0.011618196604952993
10,delta_pt_over_pt2_from_ratio,0.29716904140753153,0.3208757499245872,0.3087949789358829,191,-0.09120206471377898,0.09907594784971745,0.0951390062817482,0.1770798086786917,0.0951390062817482,0.009477270112886913
10,delta_pt_over_pt2_from_ratio,0.3208757499245872,0.34647366496184673,0.33342914850647465,218,-0.10044216931104498,0.10749483454186497,0.10396850192645497,0.11589993879900193,0.10396850192645497,0.009231394349656105
