theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
46,delta_pt_over_pt2_from_ratio,0.3605239245697229,0.3892847791752955,0.3746284510865872,158,-0.011708788551921956,0.011893707153890513,0.011801247852906236,0.05298389290545548,0.011801247852906236,0.0012277046437824029
46,delta_pt_over_pt2_from_ratio,0.3892847791752955,0.42034003562571126,0.40451449658459815,214,-0.005728082421025691,0.009881078242870536,0.007804580331948113,0.013909768238073501,0.007804580331948113,0.0005118962142093057
46,delta_pt_over_pt2_from_ratio,0.42034003562571126,0.45387273020058777,0.43678470621354626,232,-0.006377131782266438,0.007785127313146076,0.007081129547706257,0.009170151212246552,0.007081129547706257,0.00039093724733139674
46,delta_pt_over_pt2_from_ratio,0.45387273020058777,0.4900805009284604,0.47162927705399293,265,-0.0056136065031166405,0.005853760031289731,0.005733683267203186,0.13000040265267862,0.005733683267203186,0.00039584569909457734
46,delta_pt_over_pt2_from_ratio,0.4900805009284604,0.5291767524436736,0.5092535791894756,330,-0.004081170046902345,0.005223446484321003,0.004652308265611674,0.10752620396582868,0.004652308265611674,0.0003020019387501475
46,delta_pt_over_pt2_from_ratio,0.5291767524436736,0.5713919137699178,0.5498793661352831,391,-0.0035197946658147576,0.004810308439889868,0.004165051552852313,0.006266480788722729,0.004165051552852313,0.00024223091327658906
46,delta_pt_over_pt2_from_ratio,0.5713919137699178,0.6169747964436537,0.5937460818293834,416,-0.0029841888376739277,0.004257478437723822,0.0036208336376988746,0.008141548210073912,0.0036208336376988746,0.00024587838717590954
46,delta_pt_over_pt2_from_ratio,0.6169747964436537,0.6661940609820518,0.641112271888764,538,-0.0025244475155034303,0.0035876869881871945,0.0030560672518453124,0.00498380001484049,0.0030560672518453124,0.00012772564901227396
46,delta_pt_over_pt2_from_ratio,0.6661940609820518,0.7193398003386511,0.6922571074489768,690,-0.0022521614820954685,0.0032468901576525526,0.0027495258198740103,0.0036567114474112066,0.0027495258198740103,0.00010290651576361981
46,delta_pt_over_pt2_from_ratio,0.7193398003386511,0.776725249679449,0.7474820305682296,661,-0.0015592832308734977,0.002994033886836953,0.0022766585588552255,0.0037880114710014128,0.0022766585588552255,7.35021238959905e-05
46,delta_pt_over_pt2_from_ratio,0.776725249679449,0.838688632556658,0.8071125308938562,779,-0.0017414906866378946,0.0024494619275939314,0.0020954763071159128,0.003147565132363202,0.0020954763071159128,8.742392597686991e-05
46,delta_pt_over_pt2_from_ratio,0.838688632556658,0.9055951543612706,0.8715000640626424,867,-0.0015661050335688674,0.0019821214795160973,0.0017741132565424825,0.003078122632735293,0.0017741132565424825,7.483859827052015e-05
46,delta_pt_over_pt2_from_ratio,0.9055951543612706,0.9778391548036279,0.941024123141849,839,-0.0014104864534546953,0.0016853479221181904,0.0015479171877864426,0.03687764162905712,0.0015479171877864426,4.878287561672167e-05
46,delta_pt_over_pt2_from_ratio,0.9778391548036279,1.055846432108478,1.0160944753197807,1016,-0.0014204027334253592,0.0014344306907304921,0.0014274167120779256,0.002409438335287691,0.0014274167120779256,4.052922832544195e-05
46,delta_pt_over_pt2_from_ratio,1.055846432108478,1.1400767526230646,1.097153577028705,1029,-0.0011103551080672556,0.0013511433076591364,0.001230749207863196,0.040324149441715716,0.001230749207863196,4.4517326158099844e-05
46,delta_pt_over_pt2_from_ratio,1.1400767526230646,1.231026560629618,1.1846791817345972,1148,-0.0009979807537919424,0.0011507652239506835,0.0010743729888713128,0.0021156987325694943,0.0010743729888713128,4.0678497329826903e-05
46,delta_pt_over_pt2_from_ratio,1.231026560629618,1.3292319043335674,1.279187155763733,1289,-0.0007884583276345369,0.0012236196988667624,0.0010060390132506495,0.022164639791527458,0.0010060390132506495,2.5804806543564228e-05
